label_name,target_hit,target_indices,query_indices,AP,HR,RR
lung opacity,"[True, False, True, True, True, True, True, True, True, True]","[2358, 628, 953, 1257, 2095, 1179, 1467, 1929, 519, 969]",0,0.8412257495590829,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[2403, 640, 2221, 307, 2318, 68, 1194, 175, 1610, 277]",1,1.0,1.0,1.0
lung opacity,"[True, False, False, True, True, False, True, True, True, True]","[1032, 3047, 1193, 649, 878, 1669, 581, 1502, 2670, 375]",2,0.666156462585034,0.7,1.0
lung opacity,"[True, False, True, True, True, True, True, True, True, True]","[223, 2259, 440, 883, 2677, 964, 1396, 2341, 482, 1216]",3,0.8412257495590829,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1882, 1492, 2628, 1916, 661, 2826, 3046, 1797, 2971, 2360]",4,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[3162, 2263, 1495, 2738, 2969, 1387, 1645, 1647, 2779, 131]",5,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[2803, 2180, 386, 1091, 2495, 2663, 2973, 1958, 640, 1553]",6,1.0,1.0,1.0
lung opacity,"[False, True, True, True, True, True, True, False, True, True]","[152, 2981, 2146, 1160, 1977, 2775, 2812, 943, 1602, 1610]",8,0.7481150793650794,0.8,0.5
lung opacity,"[True, True, True, True, True, True, True, False, False, True]","[873, 138, 965, 2786, 484, 3086, 1541, 102, 365, 2392]",9,0.975,0.8,1.0
lung opacity,"[True, True, True, True, True, True, False, False, True, True]","[2204, 2419, 2474, 1803, 164, 2896, 1755, 1605, 648, 2852]",11,0.9472222222222222,0.8,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[716, 1553, 2522, 1194, 1880, 307, 175, 1906, 2139, 52]",12,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, True, False, True, True, True]","[408, 1321, 2546, 1603, 540, 1869, 461, 3053, 1462, 3120]",13,0.9626543209876544,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[113, 848, 648, 2993, 2995, 1742, 1743, 28, 48, 265]",14,1.0,1.0,1.0
lung opacity,"[False, True, False, True, True, True, True, True, True, True]","[2021, 1891, 2214, 3064, 437, 2595, 539, 1042, 96, 3065]",16,0.6635912698412698,0.8,0.5
lung opacity,"[True, True, True, True, True, False, True, True, True, True]","[2647, 3119, 1470, 2172, 1725, 1834, 1170, 1143, 1875, 1172]",17,0.9467813051146384,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[2082, 1061, 2295, 1413, 3037, 975, 2610, 950, 377, 2491]",19,1.0,1.0,1.0
lung opacity,"[True, True, True, True, False, True, True, False, True, True]","[1678, 2602, 499, 3110, 1585, 1450, 3189, 977, 627, 821]",20,0.908531746031746,0.8,1.0
lung opacity,"[True, True, False, True, True, True, True, True, True, True]","[2677, 2341, 1834, 1256, 331, 336, 831, 2075, 26, 2625]",21,0.8782627865961199,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[2400, 1378, 139, 2863, 2205, 1243, 990, 1511, 1438, 2434]",22,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[2152, 2416, 947, 202, 2852, 724, 1729, 1025, 823, 2155]",23,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[2395, 1468, 2712, 96, 1222, 765, 2908, 2501, 956, 121]",24,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[21, 1297, 331, 740, 3110, 437, 2338, 1450, 2172, 1944]",26,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, False, True, True, True, True]","[165, 1022, 1111, 2624, 2192, 1133, 2245, 264, 1563, 2770]",27,0.9467813051146384,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1279, 1179, 1408, 3160, 2736, 1110, 2995, 3118, 93, 1467]",28,1.0,1.0,1.0
lung opacity,"[False, True, True, True, True, True, True, True, True, True]","[1028, 3052, 2130, 2019, 2044, 112, 2057, 1917, 2329, 542]",29,0.7856701940035273,0.9,0.5
lung opacity,"[True, True, False, True, True, True, True, False, True, False]","[309, 1169, 1177, 2597, 325, 678, 2561, 761, 1106, 594]",30,0.8597505668934239,0.7,1.0
lung opacity,"[True, True, True, True, True, True, True, False, True, True]","[163, 2562, 434, 1862, 2951, 1671, 353, 1072, 1813, 2748]",31,0.9765432098765433,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[858, 441, 3119, 2217, 1875, 1470, 2677, 1725, 1237, 2955]",32,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[2688, 3013, 748, 2578, 2331, 1854, 1322, 2884, 1239, 1853]",33,1.0,1.0,1.0
lung opacity,"[False, True, True, True, True, True, True, True, True, False]","[904, 653, 1953, 547, 291, 495, 2518, 2004, 282, 2229]",35,0.7713789682539682,0.8,0.5
lung opacity,"[True, True, False, True, True, True, True, True, True, True]","[2799, 575, 1573, 2688, 748, 2245, 1375, 1837, 2770, 2786]",36,0.8782627865961199,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, False, False, True]","[427, 1383, 1680, 688, 2471, 38, 2535, 924, 255, 643]",37,0.975,0.8,1.0
lung opacity,"[True, True, True, True, False, True, True, True, True, True]","[2471, 1680, 427, 1532, 924, 642, 2280, 2017, 37, 2800]",38,0.9282627865961199,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1981, 105, 2193, 2587, 430, 3046, 1015, 2313, 492, 1492]",39,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True, False, True, True, True, False]","[2094, 2715, 1802, 2717, 1846, 2962, 3143, 522, 325, 907]",40,0.9526289682539683,0.8,1.0
lung opacity,"[True, True, True, True, True, True, True, False, False, True]","[597, 1966, 2122, 1498, 2310, 2375, 2802, 977, 804, 2895]",41,0.975,0.8,1.0
lung opacity,"[True, True, True, False, True, True, True, True, True, True]","[968, 808, 2472, 1503, 613, 277, 2058, 2055, 1972, 2960]",42,0.9060405643738976,0.9,1.0
lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[650, 2689, 2294, 2136, 2620, 6, 2973, 71, 2890, 1490]",43,1.0,1.0,1.0
lung opacity,"[False, True, True, True, True, True, True, True, True, False]","[1827, 1045, 2970, 1974, 140, 2164, 1653, 599, 2731, 1229]",45,0.7713789682539682,0.8,0.5
lung opacity,"[False, False, False, False, True, True, True, True, True, True]","[299, 1483, 2877, 2046, 2010, 2726, 2904, 1410, 581, 2618]",46,0.43624338624338627,0.6,0.2
