label_name,target_hit,target_indices,query_indices,AP,HR,RR
lung opacity,"[True, True, True, True, True]","[1257, 2358, 1179, 1163, 953]",0,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2403, 2469, 3168, 3149, 2803]",1,1.0,1.0,1.0
lung opacity,"[True, False, True, True, True]","[325, 2027, 1863, 397, 1502]",2,0.8041666666666667,0.8,1.0
lung opacity,"[True, True, True, True, True]","[2475, 563, 1216, 859, 1504]",3,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[1882, 1948, 2826, 1492, 2628]",4,1.0,1.0,1.0
lung opacity,"[True, True, False, True, True]","[3162, 2738, 1834, 1875, 2509]",5,0.8875,0.8,1.0
lung opacity,"[True, False, True, True, False]","[2803, 2407, 2377, 2721, 1418]",6,0.8055555555555555,0.6,1.0
lung opacity,"[True, True, True, False, False]","[2981, 2775, 1160, 152, 842]",8,1.0,0.6,1.0
lung opacity,"[True, True, True, True, True]","[873, 1541, 714, 484, 3086]",9,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[1803, 2716, 361, 742, 2456]",11,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2522, 752, 716, 1880, 1553]",12,1.0,1.0,1.0
lung opacity,"[False, True, True, True, True]","[461, 1321, 1462, 3053, 1692]",13,0.6791666666666667,0.8,0.5
lung opacity,"[True, True, True, True, True]","[2993, 848, 972, 265, 1258]",14,1.0,1.0,1.0
lung opacity,"[False, True, True, False, True]","[2021, 2473, 1891, 2517, 3042]",16,0.5888888888888889,0.6,0.5
lung opacity,"[True, True, True, True, False]","[2647, 3119, 2217, 3121, 1834]",17,1.0,0.8,1.0
lung opacity,"[True, True, True, True, True]","[3037, 1413, 2082, 845, 1868]",19,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[1678, 1558, 3110, 1522, 323]",20,1.0,1.0,1.0
lung opacity,"[True, True, False, True, True]","[657, 26, 1834, 2116, 441]",21,0.8875,0.8,1.0
lung opacity,"[True, True, True, True, True]","[3019, 398, 1511, 2205, 2434]",22,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2416, 2699, 1729, 272, 2155]",23,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[1468, 2395, 2967, 765, 1222]",24,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[21, 331, 2116, 1297, 657]",26,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[165, 1022, 1563, 1111, 2770]",27,1.0,1.0,1.0
lung opacity,"[True, True, False, True, True]","[3118, 482, 1657, 2736, 2804]",28,0.8875,0.8,1.0
lung opacity,"[True, True, True, True, True]","[2019, 3052, 1220, 2130, 2044]",29,1.0,1.0,1.0
lung opacity,"[True, True, True, False, True]","[309, 678, 1169, 1147, 2597]",30,0.95,0.8,1.0
lung opacity,"[True, True, True, True, True]","[163, 434, 487, 1117, 1509]",31,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[858, 1634, 2677, 945, 402]",32,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[3013, 2688, 1239, 2818, 3005]",33,1.0,1.0,1.0
lung opacity,"[True, True, True, False, False]","[653, 495, 291, 2229, 904]",35,1.0,0.6,1.0
lung opacity,"[True, True, True, True, False]","[2245, 2411, 697, 1684, 1573]",36,1.0,0.8,1.0
lung opacity,"[True, True, True, False, True]","[427, 2471, 688, 924, 1383]",37,0.95,0.8,1.0
lung opacity,"[True, True, True, True, False]","[2471, 1680, 859, 403, 924]",38,1.0,0.8,1.0
lung opacity,"[True, True, True, True, True]","[1981, 1820, 1264, 1337, 2586]",39,1.0,1.0,1.0
lung opacity,"[True, False, True, True, True]","[2094, 2594, 522, 3143, 3156]",40,0.8041666666666667,0.8,1.0
lung opacity,"[True, True, True, True, True]","[2140, 2182, 1511, 280, 122]",41,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[808, 1247, 613, 277, 2318]",42,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2689, 1506, 1539, 2294, 2136]",43,1.0,1.0,1.0
lung opacity,"[True, False, True, True, True]","[2732, 1288, 477, 2230, 2087]",45,0.8041666666666667,0.8,1.0
lung opacity,"[False, True, True, False, False]","[299, 1744, 1307, 2877, 1483]",46,0.5833333333333333,0.4,0.5
lung opacity,"[True, True, True, True, True]","[969, 1308, 1129, 1700, 2720]",48,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2888, 1725, 2217, 1208, 3027]",51,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[1711, 1796, 1894, 2526, 2377]",52,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[177, 3123, 899, 945, 243]",53,1.0,1.0,1.0
lung opacity,"[True, False, True, True, True]","[1351, 946, 2928, 296, 3167]",54,0.8041666666666667,0.8,1.0
lung opacity,"[False, False, True, False, False]","[154, 2616, 2692, 1377, 2903]",55,0.3333333333333333,0.2,0.3333333333333333
lung opacity,"[True, True, True, True, True]","[1704, 2335, 230, 1919, 2037]",56,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[756, 868, 2442, 1898, 1326]",57,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[1518, 89, 108, 878, 1927]",59,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2859, 1901, 2888, 2738, 3044]",60,1.0,1.0,1.0
lung opacity,"[True, True, True, False, True]","[1523, 2221, 2024, 2502, 2713]",61,0.95,0.8,1.0
lung opacity,"[True, True, True, True, True]","[1522, 3086, 1823, 1478, 3105]",62,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2127, 140, 1999, 2182, 2998]",64,1.0,1.0,1.0
lung opacity,"[True, True, False, True, True]","[2207, 3178, 1705, 2174, 1313]",65,0.8875,0.8,1.0
lung opacity,"[True, True, True, True, True]","[2799, 2098, 82, 297, 1053]",66,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[362, 667, 1086, 2275, 391]",67,1.0,1.0,1.0
lung opacity,"[True, True, True, False, True]","[208, 2164, 2447, 1229, 2970]",68,0.95,0.8,1.0
lung opacity,"[True, True, True, True, False]","[1228, 332, 1741, 1858, 654]",69,1.0,0.8,1.0
lung opacity,"[True, True, True, True, True]","[1298, 297, 3066, 872, 612]",70,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2891, 2437, 650, 1534, 2890]",71,1.0,1.0,1.0
lung opacity,"[True, True, False, True, True]","[615, 2750, 686, 532, 790]",72,0.8875,0.8,1.0
lung opacity,"[True, True, True, True, True]","[2970, 139, 2531, 1252, 1019]",73,1.0,1.0,1.0
lung opacity,"[False, True, True, True, True]","[103, 1858, 1769, 3147, 228]",75,0.6791666666666667,0.8,0.5
lung opacity,"[True, True, True, True, True]","[357, 1953, 65, 1985, 3055]",77,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[296, 2720, 2475, 427, 554]",78,1.0,1.0,1.0
lung opacity,"[False, True, True, True, True]","[686, 615, 1250, 1895, 2030]",79,0.6791666666666667,0.8,0.5
lung opacity,"[True, True, False, True, True]","[2503, 2775, 2502, 971, 1474]",80,0.8875,0.8,1.0
lung opacity,"[True, True, True, True, True]","[1702, 1640, 2859, 634, 568]",81,1.0,1.0,1.0
lung opacity,"[True, False, True, True, True]","[1957, 2644, 139, 66, 2418]",82,0.8041666666666667,0.8,1.0
lung opacity,"[True, True, True, True, True]","[475, 1500, 1096, 1861, 1467]",83,1.0,1.0,1.0
lung opacity,"[True, True, True, False, True]","[979, 1429, 2566, 2311, 1797]",85,0.95,0.8,1.0
lung opacity,"[False, True, False, True, True]","[2097, 2933, 1381, 1453, 2040]",86,0.5333333333333333,0.6,0.5
lung opacity,"[True, True, True, True, True]","[2570, 530, 2879, 741, 449]",87,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[1327, 1402, 2678, 396, 1668]",88,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2467, 1969, 1909, 781, 2401]",89,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2796, 1440, 2929, 1894, 2866]",90,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2402, 507, 1470, 2738, 1297]",91,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2398, 3176, 964, 21, 2822]",93,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[444, 1119, 1378, 2813, 622]",94,1.0,1.0,1.0
lung opacity,"[False, True, True, False, False]","[1409, 318, 1659, 2117, 76]",95,0.5833333333333333,0.4,0.5
lung opacity,"[True, True, True, True, True]","[760, 2738, 121, 60, 635]",96,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2995, 808, 2993, 1350, 265]",97,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[1104, 1808, 2505, 2063, 1422]",98,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2800, 2733, 60, 2210, 1901]",99,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[1905, 995, 665, 2885, 769]",100,1.0,1.0,1.0
lung opacity,"[True, True, False, False, False]","[1099, 1726, 3150, 2240, 980]",101,1.0,0.4,1.0
lung opacity,"[True, True, True, True, True]","[2643, 2193, 388, 1981, 418]",105,1.0,1.0,1.0
lung opacity,"[True, True, True, False, True]","[655, 949, 466, 1094, 2549]",106,0.95,0.8,1.0
lung opacity,"[False, True, True, True, True]","[1458, 3086, 1974, 1124, 2769]",108,0.6791666666666667,0.8,0.5
lung opacity,"[True, True, True, True, True]","[801, 318, 1790, 3127, 1017]",109,1.0,1.0,1.0
lung opacity,"[True, True, True, False, False]","[1421, 1456, 2213, 852, 1576]",110,1.0,0.6,1.0
lung opacity,"[True, True, True, True, True]","[2044, 221, 2540, 320, 214]",112,1.0,1.0,1.0
lung opacity,"[False, True, True, True, True]","[1946, 2537, 14, 2858, 848]",113,0.6791666666666667,0.8,0.5
lung opacity,"[True, True, True, False, True]","[2859, 3101, 2491, 1451, 3013]",115,0.95,0.8,1.0
lung opacity,"[False, True, True, True, True]","[415, 2825, 2845, 1356, 1890]",117,0.6791666666666667,0.8,0.5
lung opacity,"[True, True, True, True, True]","[1053, 2453, 1338, 821, 2129]",118,1.0,1.0,1.0
lung opacity,"[True, True, True, False, True]","[2728, 1784, 528, 1827, 1460]",119,0.95,0.8,1.0
lung opacity,"[True, True, True, True, True]","[2110, 760, 2738, 96, 2888]",121,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[41, 64, 1823, 2182, 280]",122,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[222, 1571, 979, 1821, 1947]",123,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[1650, 1662, 2917, 2351, 2020]",124,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[376, 821, 1460, 2089, 622]",125,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2831, 115, 2578, 2491, 1223]",126,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[499, 465, 2557, 3188, 2129]",127,1.0,1.0,1.0
lung opacity,"[False, False, False, True, False]","[2421, 1994, 1673, 1797, 1576]",129,0.25,0.2,0.25
lung opacity,"[False, True, True, True, True]","[518, 1632, 2071, 767, 143]",130,0.6791666666666667,0.8,0.5
lung opacity,"[True, True, True, True, True]","[3148, 1647, 2210, 2738, 220]",131,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2565, 2950, 1086, 2607, 2491]",137,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[1279, 821, 1935, 3072, 333]",138,1.0,1.0,1.0
lung opacity,"[True, False, True, True, True]","[1122, 1240, 2228, 3125, 82]",139,0.8041666666666667,0.8,1.0
lung opacity,"[True, True, True, True, True]","[64, 280, 3061, 1135, 2998]",140,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2859, 2306, 465, 2762, 1256]",141,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[587, 2890, 2891, 2689, 355]",142,1.0,1.0,1.0
lung opacity,"[True, True, True, True, False]","[1390, 297, 756, 765, 1464]",143,1.0,0.8,1.0
lung opacity,"[True, True, True, True, False]","[1644, 2331, 1053, 1369, 1573]",144,1.0,0.8,1.0
lung opacity,"[True, True, True, True, True]","[949, 1032, 2236, 2935, 1620]",146,1.0,1.0,1.0
lung opacity,"[True, True, True, False, True]","[2361, 1963, 67, 1614, 2082]",148,0.95,0.8,1.0
lung opacity,"[True, True, True, True, True]","[820, 989, 1772, 707, 3008]",149,1.0,1.0,1.0
